ABA_ROW_NAME,ABA_CODE,MATCH_VARIANT,SPECIES_CODE
Black-bellied Whistling-Duck,1.0,black bellied whistling duck,bkbwhd2
Fulvous Whistling-Duck,1.0,fulvous whistling duck,fuwduc
Emperor Goose,2.0,emperor goose,empgoo
Snow Goose,1.0,snow goose,snogoo
Ross's Goose,1.0,ross s goose,rosgoo
Graylag Goose,5.0,graylag goose,gragoo1
Greater White-fronted Goose,1.0,greater white fronted goose,gwfgoo3
Lesser White-fronted Goose,5.0,lesser white fronted goose,lwfgoo
Taiga Bean-Goose,3.0,taiga bean goose,taibeg1
Tundra Bean-Goose,3.0,tundra bean goose,tunbeg1
Pink-footed Goose,3.0,pink footed goose,pifgoo
Brant,1.0,brant,brant1
Barnacle Goose,3.0,barnacle goose,bargoo
Cackling Goose,1.0,cackling goose,tacgoo1
Canada Goose,1.0,canada goose,cangoo1
Hawaiian Goose,2.0,hawaiian goose,hawgoo
Mute Swan,1.0,mute swan,mutswa
Trumpeter Swan,1.0,trumpeter swan,truswa
Tundra Swan,1.0,tundra swan,tunswa2
Whooper Swan,3.0,whooper swan,whoswa
Egyptian Goose,2.0,egyptian goose,egygoo
Common Shelduck,4.0,common shelduck,comshe
Muscovy Duck,2.0,muscovy duck,musduc3
Wood Duck,1.0,wood duck,wooduc
Baikal Teal,4.0,baikal teal,baitea
Garganey,4.0,garganey,gargan
Blue-winged Teal,1.0,blue winged teal,buwtea
Cinnamon Teal,1.0,cinnamon teal,cintea5
Northern Shoveler,1.0,northern shoveler,norsho
Gadwall,1.0,gadwall,gadwal2
Falcated Duck,4.0,falcated duck,falduc
Eurasian Wigeon,2.0,eurasian wigeon,eurwig
American Wigeon,1.0,american wigeon,amewig
Laysan Duck,3.0,laysan duck,layduc
Hawaiian Duck,2.0,hawaiian duck,hawduc
Eastern Spot-billed Duck,4.0,eastern spot billed duck,spbduc
Mallard,1.0,mallard,mallar2
Mexican Duck,2.0,mexican duck,mexduc
American Black Duck,1.0,american black duck,ambduc
Mottled Duck,1.0,mottled duck,motduc2
White-cheeked Pintail,4.0,white cheeked pintail,whcpin2
Northern Pintail,1.0,northern pintail,norpin
Green-winged Teal,1.0,green winged teal,gnwtea1
Canvasback,1.0,canvasback,canvas
Redhead,1.0,redhead,redhea
Common Pochard,3.0,common pochard,compoc
Ring-necked Duck,1.0,ring necked duck,rinduc
Tufted Duck,3.0,tufted duck,tufduc
Greater Scaup,1.0,greater scaup,gresca
Lesser Scaup,1.0,lesser scaup,lessca
Steller's Eider,2.0,steller s eider,steeid
"Labrador Duck (extinct, 1858)",6.0,labrador duck,labduc
Spectacled Eider,2.0,spectacled eider,speeid
King Eider,2.0,king eider,kineid
Common Eider,1.0,common eider,comeid4
Harlequin Duck,1.0,harlequin duck,harduc
Surf Scoter,1.0,surf scoter,sursco
White-winged Scoter,1.0,white winged scoter,whwsco2
Stejneger's Scoter,3.0,stejneger s scoter,whwsco1
Common Scoter,5.0,common scoter,blksco1
Black Scoter,1.0,black scoter,blksco2
Long-tailed Duck,1.0,long tailed duck,lotduc
Bufflehead,1.0,bufflehead,buffle
